"Country","Source_S","Dest_S","IO_Coeff"
"Canada","Paper","Agriculture",0.40411
"Canada","Petroleum","Agriculture",2.58459
"Canada","Chemicals","Agriculture",7.88611
"Canada","Plastic","Agriculture",0.43074
"Canada","Minerals","Agriculture",0.10754
"Canada","Basic metals","Agriculture",0.64441
"Canada","Metal products","Agriculture",0.30479
"Canada","Machinery n.e.c","Agriculture",1.65043
"Canada","Office","Agriculture",0.00618
"Canada","Electrical","Agriculture",0.38189
"Canada","Communication","Agriculture",0.00618
"Canada","Medical","Agriculture",0.04118
"Canada","Auto","Agriculture",0.10635
"Canada","Other Transport","Agriculture",0.22635
"Canada","Other","Agriculture",0.15507
"Canada","Electricity","Agriculture",2.23833
"Canada","Construction","Agriculture",2.1803
"Canada","Retail","Agriculture",16.008
"Canada","Hotels","Agriculture",0.81549
"Canada","Land Transport","Agriculture",5.63865
"Canada","Water Transport","Agriculture",0.30365
"Canada","Air Transport","Agriculture",0.32998
"Canada","Aux Transport","Agriculture",0.61565
"Canada","Post","Agriculture",0.77211
"Canada","Finance","Agriculture",2.63577
"Canada","Real State","Agriculture",2.144
"Canada","Renting Mach","Agriculture",0.61181
"Canada","Computer","Agriculture",0.14667
"Canada","R&D","Agriculture",0.01971
"Canada","Other Business","Agriculture",1.80448
"Canada","Public","Agriculture",0.48822
"Canada","Education","Agriculture",0.04119
"Canada","Health","Agriculture",0.05198
"Canada","Other services","Agriculture",1.40709
"Canada","Private","Agriculture",0.02971
"Chile","Agriculture","Agriculture",28.34494
"Chile","Mining","Agriculture",0.45183
"Chile","Food","Agriculture",15.40167
"Chile","Textile","Agriculture",0.64156
"Chile","Wood","Agriculture",0.38732
"Chile","Paper","Agriculture",0.7941
"Chile","Petroleum","Agriculture",2.96246
"Chile","Chemicals","Agriculture",9.91619
"Chile","Plastic","Agriculture",0.847
"Chile","Minerals","Agriculture",0.46833
"Chile","Basic metals","Agriculture",0.21697
"Chile","Metal products","Agriculture",1.12116
"Chile","Machinery n.e.c","Agriculture",2.10133
"Chile","Office","Agriculture",0.08667
"Chile","Electrical","Agriculture",0.22877
"Chile","Communication","Agriculture",0.0613
"Chile","Medical","Agriculture",0.06157
"Chile","Auto","Agriculture",0.32435
"Chile","Other Transport","Agriculture",0.50665
"Chile","Other","Agriculture",0.27733
"Chile","Electricity","Agriculture",2.72178
"Chile","Construction","Agriculture",1.61357
"Chile","Retail","Agriculture",13.97342
"Chile","Hotels","Agriculture",0.36075
"Chile","Land Transport","Agriculture",2.67967
"Chile","Water Transport","Agriculture",0.20642
"Chile","Air Transport","Agriculture",0.18653
"Chile","Aux Transport","Agriculture",0.63573
"Chile","Post","Agriculture",0.62383
"Chile","Finance","Agriculture",5.72288
"Chile","Real State","Agriculture",0.72567
"Chile","Renting Mach","Agriculture",0.71928
"Chile","Computer","Agriculture",0.14304
"Chile","R&D","Agriculture",0.07177
"Chile","Other Business","Agriculture",2.11073
"Chile","Public","Agriculture",0.47353
"Chile","Education","Agriculture",0.09329
"Chile","Health","Agriculture",0.99204
"Chile","Other services","Agriculture",0.74277
"Chile","Private","Agriculture",0.00179
"China","Agriculture","Agriculture",40.48703
"China","Mining","Agriculture",0.5363
"China","Food","Agriculture",14.28657
"China","Textile","Agriculture",0.92912
"China","Wood","Agriculture",0.44498
"China","Paper","Agriculture",0.34462
"China","Petroleum","Agriculture",2.50985
"China","Chemicals","Agriculture",14.90556
"China","Plastic","Agriculture",1.60729
"China","Minerals","Agriculture",1.07049
"China","Basic metals","Agriculture",0.42968
"China","Metal products","Agriculture",1.19655
"China","Machinery n.e.c","Agriculture",2.35341
"China","Office","Agriculture",0.03014
"China","Electrical","Agriculture",0.2667
"China","Communication","Agriculture",0.01137
"China","Medical","Agriculture",0.12688
"China","Auto","Agriculture",0.45819
"China","Other Transport","Agriculture",0.30066
"China","Other","Agriculture",0.15881
"China","Electricity","Agriculture",1.46241
"China","Construction","Agriculture",0.29014
"China","Retail","Agriculture",5.29927
"China","Hotels","Agriculture",0.32986
"China","Land Transport","Agriculture",2.95459
"China","Water Transport","Agriculture",0.21765
"China","Air Transport","Agriculture",0.03207
"China","Aux Transport","Agriculture",0.41479
"China","Post","Agriculture",0.08569
"China","Finance","Agriculture",2.65869
"China","Real State","Agriculture",0.15128
"China","Renting Mach","Agriculture",0.74316
"China","Computer","Agriculture",0.17816
"China","R&D","Agriculture",0.02394
"China","Other Business","Agriculture",2.19189
"China","Public","Agriculture",0.01124
"China","Education","Agriculture",0.13233
"China","Health","Agriculture",0.02297
"China","Other services","Agriculture",0.34551
"China","Private","Agriculture",0.000177
"Denmark","Agriculture","Agriculture",25.5959
"Denmark","Mining","Agriculture",0.67993
"Denmark","Food","Agriculture",14.26234
"Denmark","Textile","Agriculture",0.18006
"Denmark","Wood","Agriculture",0.29175
"Denmark","Paper","Agriculture",0.28931
"Denmark","Petroleum","Agriculture",1.78684
"Denmark","Chemicals","Agriculture",6.8537
"Denmark","Plastic","Agriculture",0.38236
"Denmark","Minerals","Agriculture",0.08201
"Denmark","Basic metals","Agriculture",0.03102
"Denmark","Metal products","Agriculture",5.24684
"Denmark","Machinery n.e.c","Agriculture",1.08557
"Denmark","Office","Agriculture",0.11398
"Denmark","Electrical","Agriculture",0.28446
"Denmark","Communication","Agriculture",0.1301
"Denmark","Medical","Agriculture",0.05372
"Denmark","Auto","Agriculture",0.04535
"Denmark","Other Transport","Agriculture",0.20975
"Denmark","Other","Agriculture",0.13383
"Denmark","Electricity","Agriculture",1.84525
"Denmark","Construction","Agriculture",2.6154
"Denmark","Retail","Agriculture",19.07173
"Denmark","Hotels","Agriculture",0.05073
"Denmark","Land Transport","Agriculture",0.6393
"Denmark","Water Transport","Agriculture",0.02342
"Denmark","Air Transport","Agriculture",0.05777
"Denmark","Aux Transport","Agriculture",0.91677
"Denmark","Post","Agriculture",0.58956
"Denmark","Finance","Agriculture",7.11675
"Denmark","Real State","Agriculture",0.25635
"Denmark","Renting Mach","Agriculture",1.0162
"Denmark","Computer","Agriculture",0.2327
"Denmark","R&D","Agriculture",0.05845
"Denmark","Other Business","Agriculture",4.30067
"Denmark","Public","Agriculture",1.0919
"Denmark","Education","Agriculture",0.1475
"Denmark","Health","Agriculture",1.74733
"Denmark","Other services","Agriculture",0.4832
"Denmark","Private","Agriculture",0.00019
"Finland","Agriculture","Agriculture",37.95881
"Finland","Mining","Agriculture",0.58755
"Finland","Food","Agriculture",9.81462
"Finland","Textile","Agriculture",0.27138
"Finland","Wood","Agriculture",0.38441
"Finland","Paper","Agriculture",3.32291
"Finland","Petroleum","Agriculture",1.51661
"Finland","Chemicals","Agriculture",5.09737
"Finland","Plastic","Agriculture",0.16786
"Finland","Minerals","Agriculture",0.55034
"Finland","Basic metals","Agriculture",0.22908
"Finland","Metal products","Agriculture",0.76861
"Finland","Machinery n.e.c","Agriculture",2.14718
"Finland","Office","Agriculture",0.0091
"Finland","Electrical","Agriculture",0.05376
"Finland","Communication","Agriculture",0.10531
"Finland","Medical","Agriculture",0.06579
"Finland","Auto","Agriculture",0.14184
"Finland","Other Transport","Agriculture",0.02667
"Finland","Other","Agriculture",0.07076
"Finland","Electricity","Agriculture",4.43796
"Finland","Construction","Agriculture",2.73027
"Finland","Retail","Agriculture",12.80826
"Finland","Hotels","Agriculture",0.17715
"Finland","Land Transport","Agriculture",2.37717
"Finland","Water Transport","Agriculture",0.20162
"Finland","Air Transport","Agriculture",0.36894
"Finland","Aux Transport","Agriculture",0.3902
"Finland","Post","Agriculture",0.68298
"Finland","Finance","Agriculture",5.3224
"Finland","Real State","Agriculture",1.2932
"Finland","Renting Mach","Agriculture",0.12628
"Finland","Computer","Agriculture",0.48519
"Finland","R&D","Agriculture",0.00442
"Finland","Other Business","Agriculture",3.00494
"Finland","Public","Agriculture",1.00237
"Finland","Education","Agriculture",0.02244
"Finland","Health","Agriculture",0.98116
"Finland","Other services","Agriculture",0.29309
"Finland","Private","Agriculture",3.78e-05
"France","Agriculture","Agriculture",31.62607
"France","Mining","Agriculture",0.52238
"France","Food","Agriculture",9.27804
"France","Textile","Agriculture",0.26621
"France","Wood","Agriculture",0.93406
"France","Paper","Agriculture",0.47532
"France","Petroleum","Agriculture",1.87275
"France","Chemicals","Agriculture",11.78632
"France","Plastic","Agriculture",0.62342
"France","Minerals","Agriculture",0.4736
"France","Basic metals","Agriculture",0.08815
"France","Metal products","Agriculture",0.82067
"France","Machinery n.e.c","Agriculture",3.29688
"France","Office","Agriculture",0
"France","Electrical","Agriculture",0.12511
"France","Communication","Agriculture",0
"France","Medical","Agriculture",0
"France","Auto","Agriculture",0.33038
"France","Other Transport","Agriculture",0.14741
"France","Other","Agriculture",0.05589
"France","Electricity","Agriculture",4.57835
"France","Construction","Agriculture",0.53462
"France","Retail","Agriculture",17.35965
"France","Hotels","Agriculture",0.06189
"France","Land Transport","Agriculture",1.89229
"France","Water Transport","Agriculture",0.08133
"France","Air Transport","Agriculture",0.03423
"France","Aux Transport","Agriculture",0.33748
"France","Post","Agriculture",0.05837
"France","Finance","Agriculture",5.23006
"France","Real State","Agriculture",0.05162
"France","Renting Mach","Agriculture",1.44448
"France","Computer","Agriculture",0.06046
"France","R&D","Agriculture",0.29674
"France","Other Business","Agriculture",2.72082
"France","Public","Agriculture",2.42236
"France","Education","Agriculture",0.05668
"France","Health","Agriculture",0.02844
"France","Other services","Agriculture",0.02746
"France","Private","Agriculture",2.77e-05
"Germany","Agriculture","Agriculture",5.8071
"Germany","Mining","Agriculture",1.79849
"Germany","Food","Agriculture",13.03957
"Germany","Textile","Agriculture",0.34146
"Germany","Wood","Agriculture",0.46117
"Germany","Paper","Agriculture",0.49401
"Germany","Petroleum","Agriculture",2.96191
"Germany","Chemicals","Agriculture",10.69034
"Germany","Plastic","Agriculture",1.12231
"Germany","Minerals","Agriculture",2.75088
"Germany","Basic metals","Agriculture",0.32797
"Germany","Metal products","Agriculture",1.95617
"Germany","Machinery n.e.c","Agriculture",4.8605
"Germany","Office","Agriculture",0.14608
"Germany","Electrical","Agriculture",0.54091
"Germany","Communication","Agriculture",0.12698
"Germany","Medical","Agriculture",0.09425
"Germany","Auto","Agriculture",0.81008
"Germany","Other Transport","Agriculture",0.06504
"Germany","Other","Agriculture",0.10625
"Germany","Electricity","Agriculture",4.39135
"Germany","Construction","Agriculture",2.065
"Germany","Retail","Agriculture",14.63783
"Germany","Hotels","Agriculture",0.16014
"Germany","Land Transport","Agriculture",1.84573
"Germany","Water Transport","Agriculture",0.24847
"Germany","Air Transport","Agriculture",0.05727
"Germany","Aux Transport","Agriculture",0.38707
"Germany","Post","Agriculture",0.76104
"Germany","Finance","Agriculture",5.43714
"Germany","Real State","Agriculture",0.47034
"Germany","Renting Mach","Agriculture",8.51702
"Germany","Computer","Agriculture",0.03485
"Germany","R&D","Agriculture",0.000915
"Germany","Other Business","Agriculture",5.10214
"Germany","Public","Agriculture",0.67964
"Germany","Education","Agriculture",0.00693
"Germany","Health","Agriculture",4.96963
"Germany","Other services","Agriculture",1.726
"Germany","Private","Agriculture",2.21e-05
"Greece","Agriculture","Agriculture",52.47932
"Greece","Mining","Agriculture",0.13925
"Greece","Food","Agriculture",8.08812
"Greece","Textile","Agriculture",0.75569
"Greece","Wood","Agriculture",0.11276
"Greece","Paper","Agriculture",0.1101
"Greece","Petroleum","Agriculture",5.33341
"Greece","Chemicals","Agriculture",7.18408
"Greece","Plastic","Agriculture",0.45684
"Greece","Minerals","Agriculture",0.03911
"Greece","Basic metals","Agriculture",0.07576
"Greece","Metal products","Agriculture",0.14899
"Greece","Machinery n.e.c","Agriculture",1.52123
"Greece","Office","Agriculture",0.000313
"Greece","Electrical","Agriculture",0.03993
"Greece","Communication","Agriculture",0.01272
"Greece","Medical","Agriculture",0.00749
"Greece","Auto","Agriculture",0.00885
"Greece","Other Transport","Agriculture",0.11128
"Greece","Other","Agriculture",0.09361
"Greece","Electricity","Agriculture",4.58446
"Greece","Construction","Agriculture",0.19313
"Greece","Retail","Agriculture",13.10121
"Greece","Hotels","Agriculture",0.01613
"Greece","Land Transport","Agriculture",1.06828
"Greece","Water Transport","Agriculture",0.00192
"Greece","Air Transport","Agriculture",0.05957
"Greece","Aux Transport","Agriculture",0.26938
"Greece","Post","Agriculture",0.18996
"Greece","Finance","Agriculture",2.93509
"Greece","Real State","Agriculture",0.01697
"Greece","Renting Mach","Agriculture",0
"Greece","Computer","Agriculture",0
"Greece","R&D","Agriculture",0.06985
"Greece","Other Business","Agriculture",0.60823
"Greece","Public","Agriculture",0.02558
"Greece","Education","Agriculture",0.00152
"Greece","Health","Agriculture",0.13305
"Greece","Other services","Agriculture",0.00682
"Greece","Private","Agriculture",3.16e-05
"Hungary","Agriculture","Agriculture",37.50368
"Hungary","Mining","Agriculture",0.22365
"Hungary","Food","Agriculture",18.03071
"Hungary","Textile","Agriculture",0.2208
"Hungary","Wood","Agriculture",0.5451
"Hungary","Paper","Agriculture",0.45939
"Hungary","Petroleum","Agriculture",3.34189
"Hungary","Chemicals","Agriculture",8.41989
"Hungary","Plastic","Agriculture",0.57134
"Hungary","Minerals","Agriculture",0.32894
"Hungary","Basic metals","Agriculture",0.66846
"Hungary","Metal products","Agriculture",0.85398
"Hungary","Machinery n.e.c","Agriculture",1.6979
"Hungary","Office","Agriculture",0.01332
"Hungary","Electrical","Agriculture",0.14888
"Hungary","Communication","Agriculture",0.04989
"Hungary","Medical","Agriculture",0.05174
"Hungary","Auto","Agriculture",1.26599
"Hungary","Other Transport","Agriculture",0.0375
"Hungary","Other","Agriculture",0.12822
"Hungary","Electricity","Agriculture",2.42757
"Hungary","Construction","Agriculture",0.31972
"Hungary","Retail","Agriculture",10.86537
"Hungary","Hotels","Agriculture",0.14557
"Hungary","Land Transport","Agriculture",1.09563
"Hungary","Water Transport","Agriculture",0.01615
"Hungary","Air Transport","Agriculture",0.01212
"Hungary","Aux Transport","Agriculture",0.17595
"Hungary","Post","Agriculture",0.61493
"Hungary","Finance","Agriculture",2.1456
"Hungary","Real State","Agriculture",0.34254
"Hungary","Renting Mach","Agriculture",0.12302
"Hungary","Computer","Agriculture",0.1421
"Hungary","R&D","Agriculture",0.44233
"Hungary","Other Business","Agriculture",2.81771
"Hungary","Public","Agriculture",0.35114
"Hungary","Education","Agriculture",0.28229
"Hungary","Health","Agriculture",0.94337
"Hungary","Other services","Agriculture",2.17562
"Hungary","Private","Agriculture",1.13e-05
"India","Agriculture","Agriculture",52.09734
"India","Mining","Agriculture",0.01731
"India","Food","Agriculture",2.32164
"India","Textile","Agriculture",1.84084
"India","Wood","Agriculture",0.17935
"India","Paper","Agriculture",0.1303
"India","Petroleum","Agriculture",3.28429
"India","Chemicals","Agriculture",11.42599
"India","Plastic","Agriculture",0.17961
"India","Minerals","Agriculture",0.07732
"India","Basic metals","Agriculture",0.17138
"India","Metal products","Agriculture",0.171
"India","Machinery n.e.c","Agriculture",0.46315
"India","Office","Agriculture",0.00374
"India","Electrical","Agriculture",0.04317
"India","Communication","Agriculture",0.000646
"India","Medical","Agriculture",0.00386
"India","Auto","Agriculture",0.2101
"India","Other Transport","Agriculture",1.00305
"India","Other","Agriculture",0.19704
"India","Electricity","Agriculture",1.78079
"India","Construction","Agriculture",1.82221
"India","Retail","Agriculture",11.20018
"India","Hotels","Agriculture",0.07554
"India","Land Transport","Agriculture",7.26264
"India","Water Transport","Agriculture",0.18801
"India","Air Transport","Agriculture",0.25903
"India","Aux Transport","Agriculture",0.63306
"India","Post","Agriculture",0.11306
"India","Finance","Agriculture",2.48772
"India","Real State","Agriculture",0.11168
"India","Renting Mach","Agriculture",0.00812
"India","Computer","Agriculture",0.00195
"India","R&D","Agriculture",0.000262
"India","Other Business","Agriculture",0.02394
"India","Public","Agriculture",0.00663
"India","Education","Agriculture",0.000206
"India","Health","Agriculture",0.11462
"India","Other services","Agriculture",0.08533
"India","Private","Agriculture",0.00391
"Indonesia","Agriculture","Agriculture",19.2409
"Indonesia","Mining","Agriculture",0.03517
"Indonesia","Food","Agriculture",13.46948
"Indonesia","Textile","Agriculture",1.02374
"Indonesia","Wood","Agriculture",0.06379
"Indonesia","Paper","Agriculture",0.54397
"Indonesia","Petroleum","Agriculture",2.81988
"Indonesia","Chemicals","Agriculture",23.65872
"Indonesia","Plastic","Agriculture",0.37749
"Indonesia","Minerals","Agriculture",0.04959
"Indonesia","Basic metals","Agriculture",0.00507
"Indonesia","Metal products","Agriculture",0.26313
"Indonesia","Machinery n.e.c","Agriculture",1.7059
"Indonesia","Office","Agriculture",0.05954
"Indonesia","Electrical","Agriculture",0.27451
"Indonesia","Communication","Agriculture",0.00083
"Indonesia","Medical","Agriculture",0
"Indonesia","Auto","Agriculture",0
"Indonesia","Other Transport","Agriculture",2.10324
"Indonesia","Other","Agriculture",2.90258
"Indonesia","Electricity","Agriculture",0.31669
"Indonesia","Construction","Agriculture",3.97794
"Indonesia","Retail","Agriculture",12.8522
"Indonesia","Hotels","Agriculture",1.05397
"Indonesia","Land Transport","Agriculture",2.57542
"Indonesia","Water Transport","Agriculture",0.61384
"Indonesia","Air Transport","Agriculture",0.30561
"Indonesia","Aux Transport","Agriculture",0.42748
"Indonesia","Post","Agriculture",0.12077
"Indonesia","Finance","Agriculture",7.55541
"Indonesia","Real State","Agriculture",0.14028
"Indonesia","Renting Mach","Agriculture",0.2619
"Indonesia","Computer","Agriculture",0.05069
"Indonesia","R&D","Agriculture",0.10983
"Indonesia","Other Business","Agriculture",0.42241
"Indonesia","Public","Agriculture",0.00963
"Indonesia","Education","Agriculture",0.000636
"Indonesia","Health","Agriculture",0.01751
"Indonesia","Other services","Agriculture",0.59019
"Indonesia","Private","Agriculture",3.29e-05
"Ireland","Agriculture","Agriculture",40.49964
"Ireland","Mining","Agriculture",1.17232
"Ireland","Food","Agriculture",10.14403
"Ireland","Textile","Agriculture",0.3012
"Ireland","Wood","Agriculture",0.07397
"Ireland","Paper","Agriculture",0.44452
"Ireland","Petroleum","Agriculture",1.20311
"Ireland","Chemicals","Agriculture",14.12599
"Ireland","Plastic","Agriculture",0.51718
"Ireland","Minerals","Agriculture",0.28591
"Ireland","Basic metals","Agriculture",0.01405
"Ireland","Metal products","Agriculture",1.47903
"Ireland","Machinery n.e.c","Agriculture",2.94915
"Ireland","Office","Agriculture",0.37893
"Ireland","Electrical","Agriculture",0.01126
"Ireland","Communication","Agriculture",0.01271
"Ireland","Medical","Agriculture",0.00921
"Ireland","Auto","Agriculture",0.00141
"Ireland","Other Transport","Agriculture",0.29676
"Ireland","Other","Agriculture",0.62399
"Ireland","Electricity","Agriculture",1.44815
"Ireland","Construction","Agriculture",3.06779
"Ireland","Retail","Agriculture",10.65342
"Ireland","Hotels","Agriculture",0.4551
"Ireland","Land Transport","Agriculture",0.6589
"Ireland","Water Transport","Agriculture",0.05279
"Ireland","Air Transport","Agriculture",0.01457
"Ireland","Aux Transport","Agriculture",0.15119
"Ireland","Post","Agriculture",0.79549
"Ireland","Finance","Agriculture",2.85036
"Ireland","Real State","Agriculture",0.5271
"Ireland","Renting Mach","Agriculture",0.000153
"Ireland","Computer","Agriculture",0
"Ireland","R&D","Agriculture",0.02863
"Ireland","Other Business","Agriculture",0.5436
"Ireland","Public","Agriculture",0.4691
"Ireland","Education","Agriculture",0.01564
"Ireland","Health","Agriculture",2.71841
"Ireland","Other services","Agriculture",1.00524
"Ireland","Private","Agriculture",2.02e-05
"Italy","Agriculture","Agriculture",26.00293
"Italy","Mining","Agriculture",0.05609
"Italy","Food","Agriculture",20.309
"Italy","Textile","Agriculture",0.88302
"Italy","Wood","Agriculture",0.14836
"Italy","Paper","Agriculture",0.20585
"Italy","Petroleum","Agriculture",3.56009
"Italy","Chemicals","Agriculture",5.01298
"Italy","Plastic","Agriculture",0.44657
"Italy","Minerals","Agriculture",0.64197
"Italy","Basic metals","Agriculture",0.27294
"Italy","Metal products","Agriculture",0.62641
"Italy","Machinery n.e.c","Agriculture",0.21056
"Italy","Office","Agriculture",0.01903
"Italy","Electrical","Agriculture",0.15157
"Italy","Communication","Agriculture",0.07084
"Italy","Medical","Agriculture",0.04325
"Italy","Auto","Agriculture",0.48308
"Italy","Other Transport","Agriculture",0.28643
"Italy","Other","Agriculture",0.15329
"Italy","Electricity","Agriculture",4.85804
"Italy","Construction","Agriculture",0.91736
"Italy","Retail","Agriculture",20.95458
"Italy","Hotels","Agriculture",0.80942
"Italy","Land Transport","Agriculture",4.30875
"Italy","Water Transport","Agriculture",0.1264
"Italy","Air Transport","Agriculture",0.07488
"Italy","Aux Transport","Agriculture",0.40153
"Italy","Post","Agriculture",0.2753
"Italy","Finance","Agriculture",4.16319
"Italy","Real State","Agriculture",0.32496
"Italy","Renting Mach","Agriculture",0.08929
"Italy","Computer","Agriculture",0.1137
